ID	Token	Freq
1581	낡	51
1582	때리	51
1583	운명	51
1584	방사선	51
1585	기대	51
1586	뼈	51
1587	앞쪽	51
1588	심해	51
1589	에온	51
1590	양서	51
1591	낸시	51
1592	굳	50
1593	썩	50
1594	번쩍	50
1595	입술	50
1596	오랜	50
1597	꺼지	50
1598	온통	50
1599	문명	50
1600	띠	50
1601	완전	50
1602	끼치	50
1603	온도	50
1604	페르난	50
1605	운동	50
1606	목성	50
1607	투명	50
1608	지시	50
1609	되풀이	50
1610	견디	50
1611	어선	50
1612	그냥	50
1613	고속	50
1614	딱	50
1615	몸뚱이	50
1616	탈출	50
1617	두들기	50
1618	사령	50
1619	선원	50
1620	넘어지	49
1621	기쁨	49
1622	소개	49
1623	벨	49
1624	라디오	49
1625	나갈	49
1626	하얗ᆫ	49
1627	일제히	49
1628	실은	49
1629	위치	49
1630	라니	49
1631	관측	49
1632	라고요	49
1633	체포	49
1634	살해	49
1635	충분	49
1636	지도	49
1637	별안간	49
1638	중대	49
1639	경험	49
1640	몰	49
1641	잠들	49
1642	27	48
1643	돌아온	48
1644	수상	48
1645	간신히	48
1646	끄	48
1647	커피	48
1648	이내	48
1649	벌	48
1650	버스	48
1651	살피	48
1652	이대로	48
1653	엉터리	48
1654	어리석	48
1655	국가	48
1656	한쪽	48
1657	첫째	48
1658	어다	48
1659	좁	48
1660	개월	48
1661	바닷속	48
1662	달러	48
1663	제트	48
1664	기에	48
1665	에어	48
1666	조종사	48
1667	멜힐	48
1668	우라	48
1669	희망	47
1670	말ᆫ	47
1671	실패	47
1672	이란	47
1673	버튼	47
1674	기쁘	47
1675	수리	47
1676	강력	47
1677	비틀거리	47
1678	찾아오	47
1679	바퀴	47
1680	불길	47
1681	주사	47
1682	진행	47
1683	정신없이	47
1684	바깥	47
1685	겨누	47
1686	헬렌	47
1687	힘차	47
1688	어쩌	47
1689	어야지	47
1690	닫	47
1691	짧	47
1692	지나치	47
1693	글쎄	47
1694	로우	47
1695	아냐	47
1696	이걸	47
1697	공룡	47
1698	수염	47
1699	안쪽	47
1700	지면	47
1701	미치광이	47
1702	매	47
1703	헤닝스	47
1704	베	47
1705	남쪽	47
1706	미튼	47
1707	질다	47
1708	선내	47
1709	노다	47
1710	몰록	47
1711	순식간	46
1712	거절	46
1713	벌떡	46
1714	다이얼	46
1715	실리	46
1716	of	46
1717	활동	46
1718	피부	46
1719	으러	46
1720	구출	46
1721	서튼	46
1722	라서	46
1723	․	46
1724	시내	46
1725	괴롭	46
1726	덕택	46
1727	톤	46
1728	지치	46
1729	킬로	46
1730	불사	46
1731	판매	46
1732	요트	46
1733	래리	46
1734	치퍼	46
1735	인디오	46
1736	가아	46
1737	조종실	45
1738	찬	45
1739	가져오	45
1740	계산기	45
1741	따라오	45
1742	존재	45
1743	ᆯ수록	45
1744	빌	45
1745	대개	45
1746	도와주	45
1747	재	45
1748	스럽ᆫ	45
1749	분석	45
1750	영화	45
1751	황급히	45
1752	백만	45
1753	흑인	45
1754	커지	45
1755	재생	45
1756	신부	45
1757	THE	45
